name,uses,description
Aloevera,Skin care;Burn healing;Digestion,Aloe vera is widely used for soothing skin burns and improving digestion.
Alpinia Galanga (Rasna),Anti-inflammatory;Joint pain,Rasna is used in Ayurveda for treating arthritis and inflammation.
Amaranthus Viridis (Arive-Dantu),Nutrition;Anemia,Rich in iron and used for improving blood health.
Amla,Vitamin C;Hair;Digestion,Amla boosts immunity and improves hair and digestion.
Amruta_Bali,Immunity;Fever,Used to boost immunity and treat fever.
Aral,Traditional medicine,Used in herbal remedies.
Artocarpus Heterophyllus (Jackfruit),Nutrition;Energy,Jackfruit provides energy and improves digestion.
Ashoka,Women health;Pain relief,Used for menstrual disorders.
Ashwagandha,Stress relief;Energy;Immunity,Ashwagandha improves stamina and reduces stress.
Avacado,Heart health;Nutrition,Rich in healthy fats and improves heart health.
Azadirachta Indica (Neem),Antibacterial;Skin;Diabetes,Neem is used for infections and skin treatment.
Bamboo,Anti-inflammatory;Nutrition,Bamboo shoots are nutritious and anti-inflammatory.
Basale,Nutrition;Digestion,Leafy vegetable used for digestion.
Basella Alba (Basale),Nutrition;Cooling,Used for cooling and digestion.
Betel,Digestive;Stimulant,Used for digestion and oral health.
Betel_Nut,Stimulant;Digestive,Used in traditional chewing practices.
Brahmi,Memory;Brain,Brahmi improves memory and brain function.
Brassica Juncea (Indian Mustard),Anti-inflammatory;Nutrition,Used in cooking and medicinal oils.
Carissa Carands (Karanda),Digestion;Vitamin C,Improves digestion and immunity.
Castor,Laxative;Skin,Castor oil is used for constipation and skin care.
Citrus Limon (Lemon),Vitamin C;Detox,Lemon boosts immunity and detoxifies body.
Curry_Leaf,Hair;Digestion,Used for hair growth and digestion.
Doddapatre,Cold;Cough,Used for respiratory problems.
Ekka,Traditional medicine,Used in herbal remedies.
Ficus Auriculata (Roxburgh fig),Digestion;Nutrition,Used for digestive health.
Ficus Religiosa (Peepal Tree),Respiratory;Spiritual,Used for breathing issues and rituals.
Ganike,Traditional medicine,Used locally for treatment.
Gauva,Digestion;Vitamin C,Guava improves digestion and immunity.
Geranium,Skin;Aroma,Used in essential oils.
Henna,Hair;Cooling,Used for hair coloring and cooling.
Hibiscus,Hair;Heart,Hibiscus improves hair growth and heart health.
Hibiscus Rosa-sinensis,Hair;Skin,Used in hair care.
Honge,Anti-inflammatory,Used in traditional medicine.
Insulin,Diabetes control,Used for blood sugar control.
Jasmine,Relaxation;Aroma,Used in perfumes and relaxation.
Jasminum(Jasmine),Relaxation,Aromatic medicinal plant.
Lemon,Vitamin C;Detox,Boosts immunity.
Lemon_grass,Digestion;Aroma,Used in tea and digestion.
Mangfera Indica (Mango),Nutrition;Energy,Rich in vitamins.
Mango,Energy;Nutrition,Improves energy.
Mentha (Mint),Digestion;Cooling,Used for stomach issues.
Mint,Digestion;Cooling,Relieves stomach discomfort.
Moringa Olerifera (Drumstick),Nutrition;Immunity,Highly nutritious plant.
Muntingia Calabura (Jamaica Cherry_Gasagase),Antioxidant;Nutrition,Used for health benefits.
Murraya Koenigii (Curry),Hair;Digestion,Used for cooking and health.
Negadali,Traditional medicine,Used locally.
Neem,Antibacterial;Skin;Diabetes,Used for infections and skin care.
Nerium Oleander (Oleander),Medicinal;Toxic,Used carefully in medicine.
Nithyapushpa,Diabetes;Healing,Used in diabetes treatment.
Nooni,Immunity;Nutrition,Boosts health.
Nycatanthes Arbor_tristis (Parijata),Fever;Pain relief,Used for fever.
Ocimum Tenuiflorum (Tulsi),Immunity;Cold;Stress,Tulsi boosts immunity.
Pappaya,Digestion;Enzyme,Papaya improves digestion.
Pepper,Digestion;Metabolism,Used as spice and medicine.
Piper Betle (Betel),Digestive;Antiseptic,Used in chewing leaves.
Plectranthus Amboinicus (Mexican Mint),Cough;Cold,Used for respiratory issues.
Pomegranate,Antioxidant;Heart,Improves heart health.
Ponagamia Pinnata (india Beech),Skin;Oil,Used in medicinal oils.
Psidium Guajava (Guava),Digestion;Vitamin C,Improves immunity.
Punica Grantum (Pomegranate),Antioxidant;Blood,Improves blood health.
Raktachandini,Skin;Cooling,Used in skin care.
Rose,Relaxation;Skin,Used in cosmetics.
Santalum Album (Sandalwood),Cooling;Skin,Used in skincare.
Sapota,Energy;Nutrition,Provides energy.
Syzygium Cumini (Jamun),Diabetes;Digestion,Controls blood sugar.
Syzygium Jambos (Rose Apple),Digestion;Cooling,Used for digestion.
Tabernaemontana Divaricata(Crape Jasmine),Pain relief;Healing,Used in traditional medicine.
Trignella Foenum-graecum (Fenugreek),Digestion;Diabetes,Used for sugar control.
Tulasi,Immunity;Cold,Tulsi improves immunity.
Wood_sorel,Digestion;Cooling,Used in herbal remedies.
